ABIS CAN, Abis Canadensis-Pinus Canadensis, Hemlock Spruce\1
1   ,30  ,30  ,123 ,123 
ABIES NIG, Abies Nigra, Black Spruce\2
2   ,33  ,33  ,137 ,137 
ABRO, Abrotanum, Southernwood\3
3   ,70  ,70  ,282 ,282 
ABSIN, Absinthium, Common Wormwood\4
4   ,48  ,48  ,210 ,210 
ACAL, Acalypha Indica, Indian Nettle\5
5   ,23  ,23  ,93  ,93  
ACET, Acetanilidum, Antifebrinum\6
6   ,15  ,15  ,62  ,62  
ACET, Acetic Acid, Glacial Acetic Acid\7
7   ,88  ,88  ,358 ,358 
ACHY, Achyranthus\8
8   ,4   ,6   ,24  ,16  
ACONITINE, Aconitine\9
9   ,6   ,6   ,26  ,26  
ACON-C, Aconitum Cammarum\10
10  ,3   ,3   ,12  ,12  
ACON FER, Aconitum Ferox, Indian Aconite\11
11  ,8   ,11  ,44  ,32  
ACON LYC., Aconitum Lycotonum, Great Yellow Wolfsbane\12
12  ,6   ,6   ,24  ,24  
ACON NAP., Aconitum Napellus, Monkshood*\13
13  ,294 ,294 ,1245,1245
ACON HYMN, Eranthis Hymnalis, Winter Aconite\14
14  ,3   ,3   ,12  ,12  
ACON-L, Acon. Lycotonum\15
15  ,3   ,3   ,12  ,12  
ACTEA, Actea Spincata, Baneberry\16
16  ,38  ,39  ,159 ,155 
ACIR, Actes Racemosa, Black Cohosh*\17
17  ,3   ,3   ,18  ,18  
ADONIS, Adonis Vernalis, Pheasant's Eye\18
18  ,38  ,45  ,180 ,152 
ADREN, Adrenalin, An Internal Secretion of Suprarenal Glands\19
19  ,28  ,28  ,111 ,111 
AESC, Aesculus Hippocastanum, Horse Chestnut*\20
20  ,100 ,100 ,399 ,399 
AETH-M, Aethiops Mercurialis-Mineralis, Sulph, and Quicksilver, or Black Sulphide Mercury\21
21  ,8   ,8   ,32  ,32  
AETHUSA, Aethusa Cynaphium, Fool's Parsley\22
22  ,105 ,105 ,448 ,448 
AGARICIN, Agaricin, active constituent of Polyporus Officinale\23
23  ,3   ,3   ,12  ,12  
AGAR EMET, Agaricus Emetic\24
24  ,8   ,8   ,33  ,33  
AGAR, Agaricus Mascarius--Amanita, Toad Stool--Bug Agaric\25
25  ,149 ,150 ,617 ,613 
AGARIC PHALLOIDES, Agaricus Phalloides\26
26  ,4   ,4   ,16  ,16  
AGAVE, Agave Americana, Century Plant\27
27  ,8   ,8   ,34  ,34  
AGN-C, Agnus Castus, Chaste Tree*\28
28  ,47  ,47  ,206 ,206 
AGRAPHIS, Agraphis Nutans, Bluebell\29
29  ,10  ,10  ,39  ,39  
AGRIMONIA, Agrimonia, Cockleburr\30
30  ,5   ,5   ,20  ,20  
AGROSTEMA, Agrostema Githago, Corn-Coccle\31
31  ,11  ,15  ,60  ,44  
AILAN, Ailanthus Glandulosa, Chinese Sumach\32
32  ,55  ,55  ,225 ,225 
ALETRIS, Aletris Farinosa, Stargrass\33
33  ,25  ,25  ,112 ,112 
ALF, Alfalfa, Medicago Sativa; California Clover or Lucerne\34
34  ,40  ,40  ,170 ,170 
ALI-C, Allium Cepa, Red Onion*\35
35  ,93  ,93  ,378 ,378 
ALLIUM SAT, Allium Sativum, Garlic\36
36  ,33  ,34  ,137 ,132 
ALNUS, Alnus, Red Alder\37
37  ,16  ,16  ,64  ,64  
ALOE, Aloe Socotrina, Socotrine Aloes*\38
38  ,101 ,101 ,410 ,410 
ALSTONIA, Alstonia Scholaris, Dita Bark\39
39  ,18  ,18  ,72  ,72  
ALTHAA, Althaa, Marshmallow\40
40  ,3   ,3   ,12  ,12  
ALUMEN, Alumen, Common Potash Alum\41
41  ,54  ,55  ,220 ,216 
ALUM, Alumina, Pure Clay (oxide of aluminum - argilla)*\42
42  ,158 ,158 ,647 ,647 
ALUMINA SIL., Alumina Silicata, Andalasite rock - Alumina 63, Silica 37 parts\43
43  ,41  ,41  ,162 ,162 
