abdomen epigastrium, epigastrum, hypochondria, hypochondrium, hypogastrium
abdominal ascites, epigastric, hypogastric
aberrant abnormal
abnormal malformed
abnormality malformation
above supra-orbital
abrade excoriate
abraded excoriated
abrades excoriates
abrading excoriating
abrasion excoriation, lesion
abrasions lesions
abscess bubo, furuncle, gum-boil
abscess-like furuncle-like
abscesses boils, buboes, furuncles
absense amenorrhea
absent amnesic
absorbed preoccupied
absorption assimilation
abundant copious, profuse
abundantly copiously, profusely
acarus scabies, scabies
accumulation edema
accumulations edemas
acne comedones, pustule, pustules
action asystole, asystolia
active vivacious
addition including
adenitis scrofula
adhesive glutinous, tenacious, viscid
adipoma lipoma
adrenal addison's, addison's
advance promote
advanced precocious
advances promotes
affable sociable
affectionate amorous
afraid cowardly
aged senile
agitans agitans, parkinsonism
agitated panicky
agitation tumultuous
agonizing excruciating, racking
agony excrutation
ague faceache, prosopalgia, trigeminal
aid promote
aids promotes
air air-sickness
alarmed afraid
alba milk-leg
albus leucorrhaa, leucorrhea
alcohol inebriety
alcoholism dipsomania
alert sensible
alertness sensibility
almost about
aloneness solitude
also including
alveolar rigg's, rigg's
alveolaris rigg's
ambivalent irresolute
amounts polyuria
amphemerous quotidian
analgesic morvan's
anemia chlorides, chloronic, chlorosis
anesthetic soporific
anger indignation
anglicus rhachitis, rickets
angry indignant
animated vivacious
ankle malleoli, tarsal
ankylostomiasis hookworm
annoyance vexation
annoyed vexed
annoying vexatious
annually yearly
annum year
anomalous abnormal
anomalously abnormally
anserina goose-flesh, gooseflesh
antheromatous otheromatous
anthony's ergotism, erysipelas, erysipelatous
apart alone
apathetic complacent, indifferent, lethargic, listless, melancholic, phlegmatic
apathy indifference, lethargy, listlessness, melancholia, melancholy
apex vertex
apopnixis globus
apparent saphenous
appear occur
appearance countenance
appeared occurred
appears occurs
appendicitis mcburney's
appendix cecal, cecum
appetite anaphrodisia, bulimia
apprehension alarm, anxiety, nervousness
apprehensions anxieties
apprehensive anxious, nervous, panicky
apt prone
aptness proneness
arcuratus icterus
ardent vehement
area tarsal
argumentative quarrelsome
armpit axilla
armpits axillae
aroma odor
aromas odors
arrested abortion
arrogant haughty, overweening
articulation enunciation
as including, including
ascarides ascaris
ascaris ascarides
ash clinkers
ashen livid
asphyxia necrosis
asphyxiated necrosed
assertive bossy
assist facilitate, promote
assists facilitates, promotes
asthenia adynamia, adynamic
asthma laryngismus, laryngismus
asystole asystolia
asystolia asystole
ataxia thompson's, tiegel's
athlete's tinea
atrophy locomotor
attempt endeavor
attentive alert
atypical abnormal
atypically abnormally
auditory eustachian, euthanasia, meniere's
averse indisposed
aversion abhorrence, indisposition, repugnance
avoids shuns
aware sensible
awareness comprehension, sensibility
away abolished, colliquitine, abates, abraded
babbling prattling
babyish infantile
back dorsal, dorsum, nape, occipital, occiput, potts', retroversion
bad-tempered ill-tempered
baffled confused
baffles confounds
balance equilibrium
barber's tinea
basedow's ex-ophthalmic, exophthalmic, grave's
bashful retiring
beard's neurasthenia
bed-wetting enuresis
bedsore decubitus
beer ale
before climaxis, precede, preceded, precedes, preceding
beginning inception, incipiency, incipient
behind mastoid, posterior, retro-bulbar
belches eructations
belching eructation
belly navel
bellyache griping, gripping, grippings
bending anteversion, flexing
bendings flexions
bent flexed
between interosseus
beyond inexpressible
bias inclination, propensity
bicuspid mitral
bile biliousness
biliary cholelithiasis
birth puerperal
birthmark nevus
birthmarks neva
bitter ill-humored
bitterness ill-humor
black bubonic
blackheads comedones, pimples
bladder cystocele, cytospasm, vesical
blade scapula, scapular
blades scapulae
blame reproach
blear-eye tetter
bleb bullae
bleeding hemorrhage, hemorrhages, hemorrhagia, hemorrhagic, hemorrhagica
blemishes blotches
blennorrhagia blennorrhea, gleet
blennorrhea gleet
blind scotoma
blindness amaurosis, night-blindness
blister bleb, bullae
bloated distended, distensive, distented
bloating distending, distention
blonde blond
blonds blondes
blood hematemesis, hematuria, hemoptysis, septicemia, toxemia, toxemic
bloodsuckers leeches
bloody sanguineous
blue-gray leaden-colored
blue-grey leaden-colored
blue-skin cyanosis
boat scaphoid
body corpus
boil furuncle, pustule
boil-like furuncle-like
boils furuncles, pimples, pustules
bone clavicle, coccyx, maxillae, os, sternum, zygoma, zygomatic
bones clavicles, coccya, interosseus, symphysis, turbinate
bony exostoses, exostosis
booming sonorous
boredom ennui
bosom breast
brain encephalitis, meningeal
brazen immodest
breast mamma, mammary, sternum
breasts mammae
breath dyspnea
breathed inhaled
breathing cheyne-stokes, dyspnea, inhalation, inhaling, inspiration, inspirations, orthopnea, respiration, snuffles
breathless short-winded
bregma sinciput
brilliant vivid
brittle inelastic
bromhidrosis bromidrosis
bronchocele goitre
brooding melancholia, melancholic, melancholy
brown mahogany-brown, mahogany-brown
bruise ecchymosis
bruised contused, ecchymosed
bruises contusions
bubble globe
